group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
787xx,728,0.9697802197802198,0.18088259923793806,0.14148351648351648,625.0,0.9824,103.0,0.8932038834951457,0.9882271261347348,False
972xx,599,0.9699499165275459,0.18697179454419796,0.15692821368948248,505.0,0.9861386138613861,94.0,0.8829787234042553,0.9884000508093199,False
100xx,1531,0.9699542782495101,0.1889137295024774,0.17896799477465708,1257.0,0.9880668257756563,274.0,0.8868613138686131,0.9884044954988215,False
327xx,742,0.9703504043126685,0.19469739370995257,0.21293800539083557,584.0,0.9794520547945206,158.0,0.9367088607594937,0.9888081565686161,False
981xx,611,0.9705400981996727,0.18555295245488568,0.1309328968903437,531.0,0.9792843691148776,80.0,0.9125,0.9890014587632535,False
212xx,782,0.9705882352941176,0.20002209798536782,0.23529411764705882,598.0,0.9882943143812709,184.0,0.9130434782608695,0.9890505115089514,False
201xx,887,0.9706877113866967,0.17523673342398122,0.1555806087936866,749.0,0.9879839786381842,138.0,0.8768115942028986,0.9891518798098133,False
980xx,933,0.9710610932475884,0.18889495700912853,0.13719185423365488,805.0,0.9801242236024845,128.0,0.9140625,0.9895323640430589,False
481xx,1084,0.9714022140221402,0.20102914231884433,0.18911439114391143,879.0,0.9863481228668942,205.0,0.9073170731707317,0.9898799735279962,False
760xx,988,0.97165991902834,0.19556337419222208,0.19433198380566802,796.0,0.9886934673366834,192.0,0.9010416666666666,0.9901425805315965,False
190xx,611,0.972176759410802,0.19369903733273539,0.19312602291325695,493.0,0.9756592292089249,118.0,0.9576271186440678,0.9906692521169858,False
751xx,616,0.9724025974025974,0.20238824633565042,0.18181818181818182,504.0,0.9861111111111112,112.0,0.9107142857142857,0.9908993859401468,False
346xx,544,0.9724264705882353,0.2012957061430005,0.21691176470588236,426.0,0.9859154929577465,118.0,0.923728813559322,0.9909237132352942,False
761xx,654,0.9724770642201835,0.19569810362461607,0.20948012232415902,517.0,0.9864603481624759,137.0,0.9197080291970803,0.990975269246111,False
853xx,1102,0.9727767695099818,0.2000853242783914,0.20326678765880218,878.0,0.9851936218678815,224.0,0.9241071428571429,0.9912806754517478,False
200xx,564,0.973404255319149,0.17603848562126675,0.13297872340425532,489.0,0.9815950920245399,75.0,0.92,0.991920097132285,False
982xx,590,0.9745762711864406,0.20219953193178408,0.1711864406779661,489.0,0.9775051124744376,101.0,0.9603960396039604,0.993114406779661,False
060xx,593,0.9747048903878583,0.19353834551225513,0.16863406408094436,493.0,0.9756592292089249,100.0,0.97,0.9932454725419753,False
850xx,931,0.9752953813104189,0.19071491985965058,0.17400644468313642,769.0,0.9830949284785435,162.0,0.9382716049382716,0.9938471956288237,False
604xx,1053,0.9753086419753086,0.19491641815546404,0.19848053181386516,844.0,0.9893364928909952,209.0,0.9186602870813397,0.9938607085346216,False
801xx,695,0.9755395683453237,0.18511287524831954,0.12661870503597122,607.0,0.9835255354200988,88.0,0.9204545454545454,0.9940960275258055,False
774xx,907,0.9757442116868799,0.18295889904992632,0.19625137816979052,729.0,0.9849108367626886,178.0,0.9382022471910112,0.9943045635396195,False
773xx,918,0.9760348583877996,0.19885619806706803,0.21568627450980393,720.0,0.9902777777777778,198.0,0.9242424242424242,0.9946007388462632,False
275xx,802,0.9763092269326683,0.199459928622334,0.23067331670822944,617.0,0.9902755267423015,185.0,0.9297297297297298,0.994880326358018,False
941xx,860,0.9767441860465116,0.16728773276680464,0.14302325581395348,737.0,0.9850746268656716,123.0,0.926829268292683,0.9953235591506573,False
296xx,510,0.9784313725490196,0.1867948084139322,0.12745098039215685,445.0,0.9842696629213483,65.0,0.9384615384615385,0.9970428388746804,False
750xx,2188,0.9785191956124314,0.18885928174403369,0.18053016453382084,1793.0,0.9871723368655884,395.0,0.9392405063291139,0.997132332485494,False
786xx,750,0.9813333333333333,0.17909853621273833,0.172,621.0,0.9855072463768116,129.0,0.9612403100775194,1.0,False
